group,year,mean_nonstate,mean_total
Never treated,2005,0.21739130434782605,0.39130434782608703
Never treated,2006,0.4782608695652173,0.4782608695652173
Never treated,2007,0.21739130434782605,0.2608695652173913
Never treated,2008,0.6086956521739131,0.826086956521739
Never treated,2009,0.3478260869565218,1.0434782608695652
Never treated,2010,2.2173913043478253,3.434782608695652
Never treated,2011,3.0869565217391304,8.913043478260871
Never treated,2012,2.565217391304348,15.91304347826087
Never treated,2013,2.8260869565217397,12.130434782608697
Never treated,2014,3.4782608695652173,20.95652173913043
Never treated,2015,2.1739130434782608,19.304347826086957
Never treated,2016,2.043478260869565,15.043478260869566
Never treated,2017,3.304347826086956,19.78260869565217
Never treated,2018,5.826086956521738,17.52173913043478
Never treated,2019,2.9130434782608696,16.782608695652172
Never treated,2020,4.130434782608695,23.391304347826086
Never treated,2021,3.304347826086956,17.34782608695652
Never treated,2022,3.7391304347826084,15.652173913043478
Never treated,2023,4.130434782608695,21.826086956521735
Never treated,2024,3.043478260869565,16.260869565217394
Treated (law adopted),2005,0.6428571428571429,0.9285714285714285
Treated (law adopted),2006,0.7857142857142858,0.8571428571428571
Treated (law adopted),2007,0.9285714285714285,1.1428571428571432
Treated (law adopted),2008,0.28571428571428575,0.8571428571428571
Treated (law adopted),2009,0.6428571428571429,1.1428571428571428
Treated (law adopted),2010,0.8571428571428571,0.9285714285714285
Treated (law adopted),2011,2.5,3.4285714285714284
Treated (law adopted),2012,2.5714285714285716,2.9285714285714284
Treated (law adopted),2013,3.4285714285714284,3.5714285714285716
Treated (law adopted),2014,4.2142857142857135,4.357142857142857
Treated (law adopted),2015,3.3571428571428568,3.4285714285714284
Treated (law adopted),2016,5.785714285714286,6.071428571428571
Treated (law adopted),2017,3.5714285714285716,3.6428571428571432
Treated (law adopted),2018,8.357142857142858,8.928571428571427
Treated (law adopted),2019,8.5,9.714285714285714
Treated (law adopted),2020,4.2142857142857135,5.428571428571429
Treated (law adopted),2021,5.142857142857143,7.928571428571429
Treated (law adopted),2022,5.571428571428571,7.642857142857143
Treated (law adopted),2023,5.428571428571429,8.428571428571429
Treated (law adopted),2024,5.357142857142857,7.571428571428572
