cutoff,bw_multiplier,bandwidth,n_effective,estimate,se_bc,pval,se_conv,pval_conv
F,0.5,2.921994304385964,10283,-0.01966459670368259,0.057714427990329706,0.7420428549743563,0.03879651121323575,0.6122494898883082
F,0.75,4.382991456578946,15754,-0.045686814766328965,0.046264030538771914,0.8857544876046001,0.031482963088578605,0.14673532950778317
F,1,5.843988608771928,21818,-0.05641910765679192,0.03987569890422194,0.4695186143445949,0.027107722389815597,0.037407113040574605
F,1.25,7.304985760964911,27778,-0.05398079621432217,0.03562180380559098,0.17489152412808234,0.024166089950286598,0.025500091600831044
F,1.5,8.765982913157892,33562,-0.04438432270680792,0.03241085257865076,0.04816290257743403,0.02193562101215459,0.043032923815566664
F,2,11.687977217543857,45542,-0.01923049693633061,0.027987951077447296,0.01499853839191436,0.018774664149212885,0.3057034456069246
E,0.5,5.0059637550544585,18311,0.025022703226351695,0.03992613849670397,0.39258778273723133,0.02725766814932126,0.35861571853236424
E,0.75,7.508945632581687,27696,0.011934227589277313,0.0325084554990822,0.30954958327502485,0.022251287162993624,0.5917244527906167
E,1,10.011927510108917,37548,4.977241868040494e-4,0.028146916918416885,0.31558295295606625,0.019235659464289866,0.9793569783566333
E,1.25,12.514909387636147,47834,-1.3075124346961786e-4,0.025149270745434812,0.6834634046706867,0.017143625757524327,0.993914741924537
E,1.5,15.017891265163374,58834,0.004316559949051779,0.022918947878730406,0.9727434557909126,0.0155865377227989,0.7818249859425245
E,2,20.023855020217834,79604,0.008265886670848488,0.019881117367318533,0.8299780015810236,0.013478717568231635,0.5397079525216187
D,0.5,4.557796160366685,14950,0.02708572207635207,0.04027511019379454,0.4519944135534251,0.027607492136944772,0.32654322432141814
D,0.75,6.8366942405500275,22551,0.03206312874053019,0.03296449163038338,0.4273171616163697,0.022598343839100192,0.1559496093689571
D,1,9.11559232073337,30383,0.03265186503973183,0.028583548215180922,0.2940549152677978,0.019573031436397274,0.0952746723494905
D,1.25,11.394490400916713,37863,0.03246506121949366,0.02559363072334641,0.20200220153132975,0.017505563674761544,0.06365954956590675
D,1.5,13.673388481100055,46136,0.02777269838401253,0.02333536048805399,0.10562833518944308,0.01594257686854654,0.08150043799853059
D,2,18.23118464146674,62238,0.017453878667431866,0.020228396504836935,0.05143241560312905,0.013780794451360923,0.20532108340106492
C,0.5,5.644792226747703,16528,-0.014604593441351454,0.034678045275571286,0.4832813785704167,0.024177006496047357,0.5457974028900365
C,0.75,8.467188340121554,24647,0.008214916664341487,0.028696950517366974,0.3243050892528164,0.019847976902825464,0.6789532838669933
C,1,11.289584453495406,32766,0.012134715087722014,0.02500832996637802,0.8317309538702624,0.017201255806223177,0.4805270120770601
C,1.25,14.111980566869258,41418,0.015629916932992316,0.02241388462634249,0.9335817862257588,0.01538231962940928,0.30958356573741336
C,1.5,16.93437668024311,49327,0.014743971981772575,0.02052462529599051,0.6063647446530425,0.014063721698892641,0.29446856074066163
C,2,22.579168906990812,65702,0.013376833620359463,0.017783784419694342,0.4321034491721521,0.01218398656846377,0.2722469118305952
