cutoff,covariate,estimate,se_bc,pval
A,surface_reelle_bati,-0.16377196390138238,0.9020732708701884,0.68644196061597
A,nombre_pieces_principales,-0.0014200899504261955,0.031073745824114252,0.7904755621240961
B,surface_reelle_bati,0.48643871365950986,0.8666171525325972,0.3906180669314649
B,nombre_pieces_principales,0.026252884959934608,0.0307306214774362,0.23243071722120126
C,surface_reelle_bati,0.4172400263473435,0.6748873180733175,0.3765116597969512
C,nombre_pieces_principales,0.02965731141033512,0.02437952522946814,0.12463860832994086
D,surface_reelle_bati,-0.1908142185649382,0.7934309545357039,0.6746479622517596
D,nombre_pieces_principales,-0.0028045197558754786,0.028698526624709834,0.8097256655425693
E,surface_reelle_bati,0.38774336777198926,0.6956994020400525,0.5962458251247005
E,nombre_pieces_principales,0.0012157227335825027,0.02553423949212213,0.9759441286286421
F,surface_reelle_bati,-0.3726886739654134,0.6558945653636413,0.3494489238509462
F,nombre_pieces_principales,-0.019792852188193155,0.0227122272822137,0.21828458941640005
