part,term,statistic,TWFE,TWFE + Controls,DDD,DDD + Controls,DDD (per sqm),Continuous Score,Full-Sample DDD
estimates,post_treatmentTRUE,estimate,-0.050*,-0.047*,-0.027,-0.008,-0.004,0.033,0.075*
estimates,post_treatmentTRUE,std.error,(0.028),(0.026),(0.030),(0.029),(0.028),(0.063),(0.039)
estimates,investment_typeTRUE,estimate,"",-0.052**,-0.566***,-0.038,0.269***,"",-0.566***
estimates,investment_typeTRUE,std.error,"",(0.020),(0.034),(0.023),(0.036),"",(0.034)
estimates,surface_reelle_bati,estimate,"",0.014***,"",0.014***,"","",""
estimates,surface_reelle_bati,std.error,"",(0.001),"",(0.001),"","",""
estimates,I(surface_reelle_bati^2),estimate,"",-0.000***,"",-0.000***,"","",""
estimates,I(surface_reelle_bati^2),std.error,"",(0.000),"",(0.000),"","",""
estimates,nombre_pieces_principales,estimate,"",-0.018*,"",-0.017*,"","",""
estimates,nombre_pieces_principales,std.error,"",(0.009),"",(0.009),"","",""
estimates,post_treatmentTRUE × investment_typeTRUE,estimate,"","",-0.055,-0.093**,-0.103**,"",-0.230***
estimates,post_treatmentTRUE × investment_typeTRUE,std.error,"","",(0.041),(0.037),(0.042),"",(0.069)
estimates,rental_score,estimate,"","","","","",-1.274***,""
estimates,rental_score,std.error,"","","","","",(0.096),""
estimates,post_treatmentTRUE × rental_score,estimate,"","","","","",-0.155,""
estimates,post_treatmentTRUE × rental_score,std.error,"","","","","",(0.102),""
gof,Num.Obs.,"",451685,451675,451685,451675,451675,451685,621351
gof,R2,"",0.126,0.410,0.268,0.410,0.223,0.345,0.417
gof,R2 Adj.,"",0.126,0.410,0.268,0.410,0.223,0.344,0.417
gof,R2 Within,"",0.000,0.325,0.162,0.325,0.044,0.250,0.202
gof,R2 Within Adj.,"",0.000,0.325,0.162,0.325,0.044,0.250,0.202
gof,AIC,"",955446.1,778135.8,875552.0,777809.6,801660.8,825436.6,1208705.2
gof,BIC,"",956096.3,778830.1,876224.3,778514.9,802333.1,826108.9,1209646.4
gof,RMSE,"",0.70,0.57,0.64,0.57,0.59,0.60,0.64
gof,Std.Errors,"",by: code_commune,by: code_commune,by: code_commune,by: code_commune,by: code_commune,by: code_commune,by: code_commune
gof,FE: code_commune,"",X,X,X,X,X,X,X
gof,FE: year_quarter,"",X,X,X,X,X,X,X
