event_time,att,se,ci_lower,ci_upper
-13,0.0748170021299041,0.0153934779735595,0.0446457853017275,0.104988218958081
-12,0.0254420915332801,0.0100023966354669,0.00583739412776498,0.0450467889387951
-11,0.0295360784548933,0.0101764236079125,0.00959028818338474,0.0494818687264019
-10,0.031097457766744,0.0100985710946017,0.0113042584213248,0.0508906571121633
-9,0.0253584401077636,0.00983540817048264,0.00608104009361759,0.0446358401219095
-8,0.0198184493642679,0.00932332561905332,0.00154473115092335,0.0380921675776124
-7,0.0173468411527367,0.00910228837138308,-0.000493644055174169,0.0351873263606475
-6,0.0268583558473066,0.00788531622396003,0.0114031360483449,0.0423135756462682
-5,0.0115581417861177,0.00598846118702955,-0.000179242140460232,0.0232955257126956
-4,0.0129997920668534,0.00479509012041681,0.00360141543083645,0.0223981687028704
-3,0.00257662696695319,0.00365249587308995,-0.00458226494430311,0.00973551887820948
-2,0.00109195492763535,0.00247919248951773,-0.00376726235181941,0.00595117220709011
-1,0,,,
0,0.000757965945647196,0.00228774655318597,-0.0037260172985973,0.00524194918989169
1,-0.000597776793448692,0.00340539724823853,-0.0072723553999962,0.00607680181309882
2,-0.00517977828814188,0.00422200236355624,-0.0134549029207121,0.00309534634442836
3,-0.00604363757758476,0.00569979981816434,-0.0172152452211869,0.00512797006601734
4,-0.00608557163532852,0.00603911132294504,-0.0179222298283008,0.00575108655764375
5,-0.0102089201792772,0.0067630339798479,-0.0234644667797791,0.00304662642122465
6,-0.0122369094133748,0.00721239331706836,-0.0263732003148288,0.00189938148807918
7,-0.0204493847605897,0.00902958268969539,-0.0381473668323927,-0.00275140268878676
