term,estimate,se,t_stat,p_value,event_time
year::-16,0.0689028696904536,0.0210940989857455,3.26645237310279,0.00129555762056036,-16
year::-15,-0.0230925810158973,0.0168056374784715,-1.37409729595081,0.171056198539508,-15
year::-14,-0.0239297963902675,0.0156031710730795,-1.53364955611839,0.126805984967368,-14
year::-13,-0.0214386023013083,0.0157190221456399,-1.36386361076888,0.174249914094722,-13
year::-12,-0.0201256479712735,0.0149653985645208,-1.34481202652272,0.180314750004195,-12
year::-11,-0.00950564951412965,0.0149325428056906,-0.636572728290266,0.525181635052413,-11
year::-10,-0.0129347065807275,0.0136520873426769,-0.947452668303194,0.344630893097706,-10
year::-9,-0.0150599614661874,0.0131712582975031,-1.14339580365244,0.254335931297789,-9
year::-8,-0.023484450988064,0.0131592280173324,-1.78463743899961,0.0759413190717617,-8
year::-7,-0.0368107160051169,0.0140786688035567,-2.61464464565126,0.0096602702204569,-7
year::-6,-0.029297097114511,0.0120106736297159,-2.43925511738379,0.0156509701679021,-6
year::-5,-0.0140774987853449,0.0106010126893299,-1.32793905619169,0.18581684461215,-5
year::-4,-0.00710219387104329,0.00904038660105217,-0.785607317967652,0.433091837237541,-4
year::-3,-0.0113115710781164,0.00859827674298718,-1.31556257331938,0.189931551908972,-3
year::-2,-0.00545676874804539,0.00728626368624741,-0.748911785658384,0.454851354401716,-2
year::0,0.00871125806323459,0.0056882984593903,1.531434773584,0.127351926331392,0
year::1,0.0156507262909132,0.00832942653512643,1.87896804478817,0.0618046929390842,1
year::2,0.0118420947555304,0.00882079989082569,1.34251937489786,0.181055114933173,2
year::3,0.00515175327929995,0.0109221908588592,0.471677646533823,0.637706768002797,3
year::4,0.0102083873041169,0.0126389298069546,0.807693963020489,0.420292995301375,4
year::5,0.01043894342765,0.0159418091225511,0.65481548219538,0.513391186500495,5
year::6,0.0127376975983561,0.0163176811611486,0.780607089485471,0.436020632512168,6
year::7,-0.00317208642647785,0.0131274005843454,-0.241638579252363,0.809324994147458,7
year::8,0.00607992519752883,0.0168023836159544,0.361848969556662,0.717873447415043,8
year::9,-0.0937016707297265,0.0429406878302495,-2.18211853289687,0.0303475038914242,9
