term,Estimate,Std. Error,z value,Pr(>|z|)
rel_year::-10:treated,0.162518929498287,0.161845686715758,1.00415978205037,0.315301603907517
rel_year::-9:treated,-0.0295588022410746,1.42634472737955,-0.0207234630406489,0.983466252237811
rel_year::-8:treated,1.08866195781542,1.16665053448551,0.933151724218359,0.350741636219936
rel_year::-7:treated,0.644357016390995,1.23780108969102,0.520565882319462,0.602669221635945
rel_year::-6:treated,-0.00995033085269855,1.42767420540324,-0.00696960890309576,0.994439101681944
rel_year::-5:treated,1.3217558399828,1.16760447651997,1.13202361464241,0.257624506503091
rel_year::0:treated,0.63487827243646,1.43274356795153,0.443120657902643,0.65767846383783
rel_year::1:treated,-12.8608765602506,0.939863056611365,-13.6837770883558,0.00000000000000000000000000000000000000000126924570800481
rel_year::2:treated,1.34707364796708,1.24073901411547,1.08570265998076,0.277610563481293
rel_year::3:treated,-12.8077667470429,0.93989725238125,-13.6267732612199,0.00000000000000000000000000000000000000000277584891689853
rel_year::4:treated,0.891598119284262,0.204280995885949,4.36456712685132,0.0000127374732610007
rel_year::5:treated,-13.1044986503463,0.937962623656837,-13.9712375736847,0.0000000000000000000000000000000000000000000233533011148792
rel_year::6:treated,0.371063681391284,1.42780605296781,0.259883813085116,0.794953397671556
rel_year::7:treated,1.06421086195124,1.23828374182531,0.859424077055655,0.390106590864261
rel_year::8:treated,1.17118298150343,0.726143588840307,1.61288070225046,0.106770428513438
rel_year::9:treated,0.693147180560407,1.42912976292078,0.485013466617469,0.62766679297729
rel_year::10:treated,-13.1442389543671,0.938459594700439,-14.0061852727531,0.0000000000000000000000000000000000000000000142875952727546
rel_year::11:treated,0.150822889735055,1.42686116820146,0.105702568053741,0.915818342756416
rel_year::12:treated,1.66073120682212,1.1803238752891,1.40701314409603,0.159423491227482
rel_year::13:treated,1.12393009665288,1.24045850595397,0.906060211815409,0.364903983496916
rel_year::14:treated,0.89159811928423,1.42734353283022,0.624655591857636,0.532197125042239
rel_year::15:treated,-12.8608765786492,0.942789043284084,-13.6413089123841,0.00000000000000000000000000000000000000000227441299664956
